exp,nRatings,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,liking_mean,liking_sd,familiarity_mean,familiarity_sd
1,47,6.58936170212766,1.4803398614703,5.32127659574468,1.8605674882555,6.06808510638298,1.95949265649563,6.39574468085106,2.16342697617024,3.34042553191489,1.83298990420001
2,47,5.92765957446809,1.90442301289023,5.37021276595745,1.58016439618285,5.87659574468085,1.79785049989745,5.73829787234042,2.51573769900854,2.80851063829787,1.74004370100469
3,46,6.96086956521739,1.22356097080422,5.51739130434783,1.64793532071378,5.69782608695652,1.90863408173778,7.17173913043478,1.77321591634813,3.65217391304348,1.60855202387942
4,48,6.78333333333333,1.35730228893423,5.50208333333333,1.66535276223839,6.14583333333333,1.71252685437349,6.54166666666667,2.01682638134329,3.125,1.77002223811009
5,45,6.38222222222222,1.52289928170652,5.51555555555556,1.81533312189095,5.87333333333333,2.0948421507034,6.69333333333333,2.14586282709946,3.6,1.51357493732854
6,47,6.52765957446808,1.49937699057041,5.73617021276596,1.48359515336679,5.6,1.98746069143518,6.48723404255319,2.12271534691614,2.21276595744681,1.54548669993807
7,47,6.15744680851064,1.84823590166302,5.92978723404255,1.69781379805825,5.83191489361702,2.06619860813321,6.04893617021277,2.56140860876483,3.5531914893617,1.63930672831268
8,47,6.92340425531915,1.3100303292137,5.24042553191489,1.39652668127317,5.5063829787234,1.93642479342048,7.17872340425532,1.81490641395,3.5531914893617,1.71703119211871
9,47,7.26808510638298,1.05503067809893,5.63191489361702,1.24570678086932,5.70212765957447,1.84443809773932,7.85106382978723,1.3073159260943,3.63829787234043,1.59381320048457
10,46,4.82173913043478,1.41058113217028,5.52826086956522,1.60619122197386,5.71739130434783,1.80324452619606,4.64130434782609,2.51480735617012,1.41304347826087,1.00168939422961
11,47,7.45744680851064,1.17838221466903,5.01063829787234,1.72906534723912,5.62340425531915,2.01496712304147,7.47659574468085,1.21121799387111,1.72340425531915,1.09746996907659
12,46,7.04565217391304,1.09193132094552,3.50652173913043,1.88578332370433,6.0304347826087,1.82669946019437,7.11521739130435,1.47888357160308,1.32608695652174,0.761704166139963
13,47,6.58723404255319,1.10642727442816,3.33829787234043,1.42058671153695,5.58085106382979,2.1778168464006,6.47659574468085,1.66292209626379,1.5531914893617,0.973753621153012
14,47,7.1936170212766,1.26618294153851,4.2531914893617,1.84907157241844,5.79787234042553,2.07107295881629,7.63191489361702,1.52972097242243,3.85106382978723,1.58770717106606
15,46,6.14782608695652,1.13680627303664,3.13478260869565,1.28256988396203,6.2695652173913,1.77987135180763,5.79565217391304,1.77287669831819,1.26086956521739,0.712890286360021
17,47,5.22978723404255,1.07155208309723,3.0063829787234,1.52763019872344,6.68510638297872,2.12142064002283,4.67446808510638,1.9548677354465,1.61702127659574,1.11420065887304
18,46,7.31521739130435,1.52635621170949,3.78478260869565,1.92295691190004,5.8695652173913,2.23187709390971,7.78043478260869,1.48363211451078,3.97826086956522,1.46801650664021
19,46,7.15434782608696,1.32021993483226,5.01304347826087,1.68991895869492,6.18913043478261,1.69118344636984,7.15,1.63037146414893,3.30434782608696,1.69796695711065
20,47,7.28297872340426,1.09113406280609,4.85744680851064,1.93005346635235,5.88085106382979,2.14897733998537,7.44468085106383,1.78773703331265,3.51063829787234,1.67944530730849
21,47,3.86382978723404,1.12509430173167,3.30425531914894,1.44176182179523,5.88723404255319,2.16530116604723,3.82340425531915,1.81601723392003,1.34042553191489,0.730592247685005
22,46,5.1304347826087,1.18206402631957,3.5,1.53709683060849,6.10434782608696,1.91740061561817,5.41086956521739,1.81747422550816,1.21739130434783,0.696436755627797
23,47,3.42765957446809,1.14942369825616,4.1531914893617,1.51267845714435,5.72553191489362,2.19341584759503,3.56382978723404,1.77291525238431,1.59574468085106,1.09662673424669
24,47,3.93404255319149,1.80160274004356,4.54255319148936,1.84222746563844,5.3531914893617,1.95201691277306,6.68510638297872,1.96180692257931,3.68085106382979,1.58945414445834
25,47,4.91914893617021,1.21129436659847,3.2063829787234,1.43502829169492,6.06170212765957,1.98730243114164,5.53829787234042,1.90896662137323,1.51063829787234,1.12041025920694
26,47,5.24893617021277,1.35740678924535,2.47234042553192,1.14980189742853,6.46382978723404,1.84443057454349,5.3,1.99357664163858,1.34042553191489,0.86669275797439
27,48,5.7625,1.04771788471776,3.70416666666667,1.64355068837205,6.26875,1.98977773269577,5.75,1.7606816861659,1.95833333333333,1.12908046437597
28,46,4.2,1.15026566979594,3.28478260869565,1.4884693691178,5.75869565217391,2.17138727667683,5.3804347826087,2.20571173347918,1.65217391304348,1.30328459080804
29,47,4.5063829787234,1.51548589644136,4.51063829787234,1.7136579287484,5.46808510638298,2.04823427487516,6.3063829787234,1.93765930681046,3.29787234042553,1.65391358820883
30,48,3.22708333333333,1.56024269570588,4.76875,1.9341451737632,4.89791666666667,2.14351963332266,5.2,2.48116307661668,2.97916666666667,1.3913040466967
31,47,3.17446808510638,1.48638284100909,5.01702127659575,1.64981147130265,5.73191489361702,2.15286526800092,2.75106382978723,2.12530021822243,1.17021276595745,0.636537813903573
32,47,3.5531914893617,1.40230416966998,5.26595744680851,1.56570259207983,5.3936170212766,2.06170088659605,2.93404255319149,2.12891854519211,1.61702127659574,1.17127191157383
33,46,3.9304347826087,1.30960037419688,5.32608695652174,1.9518008530709,5.96304347826087,2.0433478733199,2.8804347826087,1.69241701785312,1.32608695652174,0.761704166139963
34,47,4.10851063829787,1.39203163807656,5.90851063829787,1.95568622308008,5.48085106382979,2.17472020168036,3.31702127659574,2.20338861055028,1.34042553191489,0.759765288261443
36,48,3.52916666666667,1.40953566118131,5.48333333333333,1.56495303897095,5.5625,2.17965691229587,3.23125,2.21110892078488,1.39583333333333,0.764632670350526
37,47,2.35744680851064,1.80960537144705,6.41489361702128,1.72639089777341,4.46170212765957,2.45689386717469,1.94042553191489,1.90179086932247,1.12765957446809,0.448040238710948
38,45,2.89555555555556,1.6341463653646,5.51777777777778,1.89500406438625,5.32888888888889,2.33944653732675,2.51111111111111,2.08688787674398,1.06666666666667,0.330289129537908
39,47,2.98085106382979,1.60564741078812,5.90851063829787,2.1935508028957,5.50212765957447,2.47733108156673,2.29787234042553,1.95097404454267,1.19148936170213,0.495119567128922
40,46,4.44782608695652,1.42232034685655,5.15869565217391,1.79116052844164,5.92391304347826,1.95825146298184,3.62826086956522,2.23623324598191,1.26086956521739,0.612273817056666
